USD,Inflat (CPI),Quantity Supply,Quantity exploit,Gold price
CAO,TANG,THAP,TRUNG BINH,CAO
TRUNG BINH,ON DINH,TRUNG BINH,CAO,THAP
CAO,ON DINH,CAO,TRUNG BINH,CAO
TRUNG BINH,GIAM,THAP,CAO,THAP
THAP,ON DINH,CAO,THAP,THAP
TRUNG BINH,GIAM,THAP,TRUNG BINH,THAP
CAO,TANG,THAP,THAP,CAO
THAP,GIAM,CAO,CAO,CAO
TRUNG BINH,GIAM,THAP,CAO,THAP
THAP,TANG,CAO,TRUNG BINH,THAP
CAO,GIAM,THAP,TRUNG BINH,THAP
TRUNG BINH,TANG,TRUNG BINH,THAP,THAP
CAO,GIAM,TRUNG BINH,THAP,CAO
CAO,GIAM,CAO,THAP,CAO
TRUNG BINH,ON DINH,CAO,TRUNG BINH,CAO
THAP,TANG,THAP,THAP,THAP
TRUNG BINH,GIAM,CAO,CAO,CAO
CAO,ON DINH,CAO,THAP,THAP
THAP,GIAM,CAO,CAO,CAO
TRUNG BINH,TANG,THAP,CAO,THAP
CAO,ON DINH,CAO,CAO,CAO
TRUNG BINH,GIAM,TRUNG BINH,THAP,THAP
THAP,GIAM,CAO,THAP,THAP
THAP,GIAM,CAO,CAO,CAO
THAP,TANG,THAP,THAP,THAP
